sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
108;pms5003;3520;-26.689;27.817;2021-05-13T14:53:21.205209+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:53:21.205209+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:53:33.774299+00:00;humidity;34.30
107;DHT22;3520;-26.689;27.817;2021-05-13T14:53:33.774299+00:00;temperature;21.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:54:23.621534+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:54:23.621534+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:54:23.621534+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:54:36.156024+00:00;humidity;34.30
107;DHT22;3520;-26.689;27.817;2021-05-13T14:54:36.156024+00:00;temperature;20.90
108;pms5003;3520;-26.689;27.817;2021-05-13T14:55:26.162812+00:00;P2;1.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:55:26.162812+00:00;P1;1.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:55:26.162812+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:55:38.605236+00:00;humidity;34.40
107;DHT22;3520;-26.689;27.817;2021-05-13T14:55:38.605236+00:00;temperature;20.50
108;pms5003;3520;-26.689;27.817;2021-05-13T14:56:28.317282+00:00;P2;1.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:56:28.317282+00:00;P1;1.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:56:28.317282+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:56:40.723801+00:00;humidity;36.90
107;DHT22;3520;-26.689;27.817;2021-05-13T14:56:40.723801+00:00;temperature;20.10
108;pms5003;3520;-26.689;27.817;2021-05-13T14:57:39.733457+00:00;P2;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:57:39.733457+00:00;P1;0.00
108;pms5003;3520;-26.689;27.817;2021-05-13T14:57:39.733457+00:00;P0;0.00
107;DHT22;3520;-26.689;27.817;2021-05-13T14:57:52.526878+00:00;humidity;36.80
107;DHT22;3520;-26.689;27.817;2021-05-13T14:57:52.526878+00:00;temperature;19.90
